2026-01-09 17:32:52,866 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:32:55,551 | INFO | test.lifecycle | Browser closed
2026-01-09 17:32:55,553 | INFO | test.lifecycle | === SCENARIO: Verify year range allows same start and end year selection ===
2026-01-09 17:32:55,554 | INFO | test.lifecycle | Browser launch
2026-01-09 17:33:05,606 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:33:05,618 | INFO | pages.discover_page | Page navigation
2026-01-09 17:33:10,588 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:33:11,240 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:33:14,147 | INFO | pages.discover_page | Setting start year to 1900
2026-01-09 17:33:16,087 | INFO | pages.discover_page | Start year 1900 set successfully
2026-01-09 17:33:17,088 | INFO | pages.discover_page | Attempting to set end year to 1900
2026-01-09 17:33:17,995 | INFO | pages.discover_page | End year 1900 set successfully
2026-01-09 17:33:19,209 | INFO | pages.discover_page | FINAL RESULT - Start: '1900', End: '2025', Same: False
2026-01-09 17:33:19,212 | INFO | step.verification | step_verify_results called
2026-01-09 17:33:24,761 | INFO | step.verification | Found 20 results
2026-01-09 17:33:24,762 | INFO | step.verification | Verifying year range filtering worked correctly
2026-01-09 17:33:24,978 | INFO | pages.discover_page | Year filter verification - Expected: 1900-1900, Actual: 1900-2025
2026-01-09 17:33:25,008 | ERROR | test.lifecycle | Test failure / exception occurred
2026-01-09 17:33:25,008 | ERROR | test.lifecycle | Scenario failed: Verify year range allows same start and end year selection
2026-01-09 17:33:25,973 | INFO | test.lifecycle | Added failed test result to report: Verify year range allows same start and end year selection
2026-01-09 17:33:25,976 | INFO | test.lifecycle | HTML test report generated: reports/test_report.html
2026-01-09 17:33:25,977 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:33:28,862 | INFO | test.lifecycle | Browser closed
2026-01-09 17:33:43,408 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:33:43,412 | INFO | test.lifecycle | === SCENARIO: User navigates to next page of results ===
2026-01-09 17:33:43,412 | INFO | test.lifecycle | Browser launch
2026-01-09 17:33:51,212 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:33:51,218 | INFO | pages.discover_page | Page navigation
2026-01-09 17:33:57,770 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:33:58,485 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:34:01,766 | INFO | pages.discover_page | Clicked Next page button
2026-01-09 17:34:09,288 | INFO | test.lifecycle | Scenario passed: User navigates to next page of results
2026-01-09 17:34:09,289 | INFO | test.lifecycle | Added passed test result to report: User navigates to next page of results
2026-01-09 17:34:09,289 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:34:12,509 | INFO | test.lifecycle | Browser closed
2026-01-09 17:34:12,514 | INFO | test.lifecycle | === SCENARIO: User navigates back to previous page ===
2026-01-09 17:34:12,516 | INFO | test.lifecycle | Browser launch
2026-01-09 17:34:23,402 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:34:23,409 | INFO | pages.discover_page | Page navigation
2026-01-09 17:34:30,506 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:34:31,305 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:34:34,935 | INFO | pages.discover_page | Clicked Next page button
2026-01-09 17:34:37,842 | INFO | pages.discover_page | Clicked Previous page button
2026-01-09 17:34:44,300 | INFO | test.lifecycle | Scenario passed: User navigates back to previous page
2026-01-09 17:34:44,301 | INFO | test.lifecycle | Added passed test result to report: User navigates back to previous page
2026-01-09 17:34:44,301 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:34:48,455 | INFO | test.lifecycle | Browser closed
2026-01-09 17:34:48,458 | INFO | test.lifecycle | === SCENARIO: Direct page number navigation ===
2026-01-09 17:34:48,458 | INFO | test.lifecycle | Browser launch
2026-01-09 17:35:00,963 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:35:00,969 | INFO | pages.discover_page | Page navigation
2026-01-09 17:35:09,953 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:35:10,744 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:35:12,091 | INFO | pages.discover_page | Clicked page number 3
2026-01-09 17:35:18,693 | INFO | step.verification | Verified 20 results displayed for page 3
2026-01-09 17:35:18,938 | INFO | test.lifecycle | Scenario passed: Direct page number navigation
2026-01-09 17:35:18,939 | INFO | test.lifecycle | Added passed test result to report: Direct page number navigation
2026-01-09 17:35:18,939 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:35:21,807 | INFO | test.lifecycle | Browser closed
2026-01-09 17:35:21,809 | INFO | test.lifecycle | === SCENARIO: User selects last page directly (known defect) ===
2026-01-09 17:35:21,810 | INFO | test.lifecycle | Browser launch
2026-01-09 17:35:41,079 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:35:41,090 | INFO | pages.discover_page | Page navigation
2026-01-09 17:35:50,799 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:35:51,479 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:35:55,163 | INFO | pages.discover_page | Found 14 total links, looking for page numbers
